#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
REN	cyclic AMP	980138	-100000274	ENSP00000272190	274	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.847	0.847
retinoic acid	triacylglycerol	-100005538	-105460048	5538	5460048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.793	0.793
WDFY2	CSN1S1	981996	977556	ENSP00000298125	ENSP00000246891	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.467	0.467
simvastatin	nitric oxide	-100054454	-100145068	54454	145068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.602
TNF	ADIPOQ	995272	984630	ENSP00000392858	ENSP00000320709	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.893	0.894
F5	APOE	989540	977866	ENSP00000356771	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.499	0.499
APOA4	TTR	988386	977130	ENSP00000350425	ENSP00000237014	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.430	0.939
ALPL	CCR5	991077	981342	ENSP00000363965	ENSP00000292303	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.427	0.427
MME	ALB	988880	981665	ENSP00000353679	ENSP00000295897	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.430	0.430
F2	gemfibrozil	983286	-100003463	ENSP00000308541	3463	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.739
F7	APOB	991234	977017	ENSP00000364731	ENSP00000233242	0.000	0.000	0.000	0.000	0.096	0.000	0.000	0.901	0.905
retinoic acid	heparin	-100005538	-153477714	5538	53477714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.579	0.579
APOA4	APOD	988386	987611	ENSP00000350425	ENSP00000345179	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.412	0.412
DIF	heparin	995928	-153477714	ENSP00000398698	53477714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.876	0.876
LRP8	APOH	982701	976037	ENSP00000303634	ENSP00000205948	0.000	0.000	0.000	0.000	0.133	0.621	0.000	0.343	0.754
NOS2	KNG1	985339	979518	ENSP00000327251	ENSP00000265023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.465	0.465
DIF	NGF	995928	989928	ENSP00000398698	ENSP00000358525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.660	0.659
JUN	AKT1	990315	980037	ENSP00000360266	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.953	0.953
ACE	CYBA	981253	978755	ENSP00000290866	ENSP00000261623	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.540
IL8	oxygen	983025	-100000977	ENSP00000306512	977	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.876	0.876
INS	EEF1A2	988146	976265	ENSP00000348986	ENSP00000217182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.540
AGT	STAT1	989305	988984	ENSP00000355627	ENSP00000354394	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.442	0.442
PLAUR	AKT1	986797	980037	ENSP00000339328	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.877	0.877
IL10	PPARG	997416	981074	ENSP00000412237	ENSP00000287820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.430	0.430
CYP3A4	IGF1	986634	982571	ENSP00000337915	ENSP00000302665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.463	0.462
LEP	GAPDH	983804	976853	ENSP00000312652	ENSP00000229239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.524	0.524
PTGS2	IL6	989478	978411	ENSP00000356438	ENSP00000258743	0.000	0.000	0.000	0.000	0.425	0.000	0.000	0.954	0.972
STAT1	REV3L	988984	988579	ENSP00000354394	ENSP00000351697	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.411	0.411
APOB	monensin	977017	-100004242	ENSP00000233242	4242	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.813	0.813
MMP9	ALB	990537	981665	ENSP00000361405	ENSP00000295897	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.610	0.609
IGF1	PPARG	982571	981074	ENSP00000302665	ENSP00000287820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.540
ALB	GOT2	981665	977459	ENSP00000295897	ENSP00000245206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.835	0.835
APP	simvastatin	980902	-100054454	ENSP00000284981	54454	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.082	0.716
MTHFR	COMT	991431	989005	ENSP00000365775	ENSP00000354511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.468	0.468
REV3L	IL8	988579	983025	ENSP00000351697	ENSP00000306512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.460	0.460
VCAM1	GAPDH	981518	976853	ENSP00000294728	ENSP00000229239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.542
POLA1	ACE	991939	981253	ENSP00000368349	ENSP00000290866	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.466	0.466
ABCG1	LPL	989150	983439	ENSP00000354995	ENSP00000309757	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.503	0.502
NOS2	SELP	985339	979231	ENSP00000327251	ENSP00000263686	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.528	0.528
CCL2	lysophosphatid.	976702	-100003987	ENSP00000225831	3987	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.422	0.422
DIF	AKT1	995928	980037	ENSP00000398698	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.962	0.962
ALPPL2	TF	981599	979511	ENSP00000295453	ENSP00000264998	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.660	0.659
CD40	TSPO	990530	985548	ENSP00000361359	ENSP00000328973	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.752	0.752
VEGFA	8-Br-cAMP	990487	-100001912	ENSP00000361125	1912	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
NR1H4	APOB	984066	977017	ENSP00000315442	ENSP00000233242	0.000	0.000	0.000	0.000	0.228	0.000	0.000	0.461	0.556
CHAT	BCHE	986533	979379	ENSP00000337103	ENSP00000264381	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.788	0.788
ALB	endo-toxin	981665	-144268108	ENSP00000295897	44268108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.522	0.522
ENSG00000228978	ketamine	994872	-100003821	ENSP00000389265	3821	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.846	0.846
SDC1	APOC3	978042	976781	ENSP00000254351	ENSP00000227667	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.107	0.904
ALPP	CCL2	993237	976702	ENSP00000375881	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.424	0.424
APOE	PL-V	977866	-100447949	ENSP00000252486	447949	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.719	0.719
LEP	PLA2G7	983804	980336	ENSP00000312652	ENSP00000274793	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.177	0.912
MMP9	CASP3	990537	983604	ENSP00000361405	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.540
IL6	CRP	978411	978101	ENSP00000258743	ENSP00000255030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.980	0.980
PPARG	MTTP	981074	979623	ENSP00000287820	ENSP00000265517	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.536	0.536
BGN	ELN	985346	977832	ENSP00000327336	ENSP00000252034	0.000	0.000	0.000	0.000	0.066	0.621	0.000	0.527	0.809
SOD2	SERPINE1	986537	976602	ENSP00000337127	ENSP00000223095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.412	0.412
STAT3	APOE	979431	977866	ENSP00000264657	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.479	0.479
PON1	acrolein	976554	-100007847	ENSP00000222381	7847	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
ESR1	arsenic	976039	-105359596	ENSP00000206249	5359596	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.823	0.823
APOC3	APOA5	976781	976779	ENSP00000227667	ENSP00000227665	0.000	0.000	0.000	0.000	0.579	0.000	0.900	0.788	0.989
