#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
BACE1	DB07519	984380	-111537623	ENSP00000318585	11537623	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
DMSO	fragment 5	-100000679	-100831615	679	831615	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.900
BACE1	GRL-8234	984380	-111963228	ENSP00000318585	11963228	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.164	0.913
BACE1	F1k	984380	-125134252	ENSP00000318585	25134252	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	2oht	984380	-111507920	ENSP00000318585	11507920	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
glycerol	zinc	-100000753	-100023994	753	23994	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.763	0.975
BACE1	6 ip	984380	-111586735	ENSP00000318585	11586735	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
APP	zinc	980902	-100023994	ENSP00000284981	23994	0.000	0.000	0.000	0.000	0.000	0.900	0.700	0.256	0.976
GGA1	BACE1	987076	984380	ENSP00000341344	ENSP00000318585	0.000	0.000	0.000	0.000	0.000	0.974	0.000	0.895	0.997
GGA1	APP	987076	980902	ENSP00000341344	ENSP00000284981	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.193	0.446
BACE1	glycerol	984380	-100000753	ENSP00000318585	753	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.143	0.911
BACE1	2ph8	984380	-124768527	ENSP00000318585	24768527	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
DMSO	6 ip	-100000679	-111586735	679	11586735	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.023	0.900
BACE1	2va5	984380	-111651760	ENSP00000318585	11651760	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	CHEBI:414661	984380	-144397090	ENSP00000318585	44397090	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.912
glycerol	phosphate	-100000753	-100001003	753	1003	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.914	0.999
BACE1	4-FP	984380	-103699841	ENSP00000318585	3699841	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
acetate	DMSO	-100000175	-100000679	175	679	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.819	0.981
NCSTN	APP	981521	980902	ENSP00000294785	ENSP00000284981	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.571	0.826
BACE1	h 24	984380	-111594966	ENSP00000318585	11594966	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
acetate	statine	-100000175	-100123915	175	123915	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.067	0.904
F1 I	F1 j	-125134250	-125134251	25134250	25134251	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.486	0.486
GGA3	glycerol	977473	-100000753	ENSP00000245541	753	0.000	0.000	0.000	0.000	0.000	0.427	0.000	0.180	0.516
APP	glycerol	980902	-100000753	ENSP00000284981	753	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.181	0.915
BACE1	F1 H	984380	-125134249	ENSP00000318585	25134249	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	7-ip	984380	-111659487	ENSP00000318585	11659487	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.063	0.980
acetate	glycerol	-100000175	-100000753	175	753	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.860	0.985
DMSO	8-IP	-100000679	-111701820	679	11701820	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.016	0.900
DMSO	glycerol	-100000679	-100000753	679	753	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.809	0.980
BACE1	1XS7	984380	-100449218	ENSP00000318585	449218	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.982
BACE1	Ba-V	984380	-125163982	ENSP00000318585	25163982	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.911
PLSCR1	GGA3	987657	977473	ENSP00000345494	ENSP00000245541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.429	0.429
DMSO	7-ip	-100000679	-111659487	679	11659487	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.032	0.900
BACE1	aminopyrimidin.	984380	-125138203	ENSP00000318585	25138203	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	F1 L	984380	-125134253	ENSP00000318585	25134253	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
phosphate	zinc	-100001003	-100023994	1003	23994	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.876	0.998
DMSO	phosphate	-100000679	-100001003	679	1003	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.796	0.979
DMSO	zinc	-100000679	-100023994	679	23994	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.852	0.984
BACE1	Ae-H	984380	-124748050	ENSP00000318585	24748050	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	phosphate	984380	-100001003	ENSP00000318585	1003	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.183	0.915
BACE1	F1 I	984380	-125134250	ENSP00000318585	25134250	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	3buh	984380	-124748051	ENSP00000318585	24748051	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	2ohu	984380	-111633167	ENSP00000318585	11633167	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	DMSO	984380	-100000679	ENSP00000318585	679	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.144	0.911
PSEN1	APP	985250	980902	ENSP00000326366	ENSP00000284981	0.000	0.000	0.000	0.000	0.000	0.976	0.000	0.954	0.998
PLSCR1	BACE1	987657	984380	ENSP00000345494	ENSP00000318585	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.885	0.953
DMSO	2oht	-100000679	-111507920	679	11507920	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.900
BACE1	Pb 7	984380	-110371968	ENSP00000318585	10371968	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.163	0.913
glycerol	7-ip	-100000753	-111659487	753	11659487	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.046	0.902
BACE1	SureCN8270082	984380	-110169014	ENSP00000318585	10169014	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.913
BACE1	5 ha	984380	-105287532	ENSP00000318585	5287532	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.876	0.987
BACE1	2q11	984380	-116741238	ENSP00000318585	16741238	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
DMSO	8a-p	-100000679	-110397869	679	10397869	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.056	0.903
BACE1	fragment 5	984380	-100831615	ENSP00000318585	831615	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	NCSTN	984380	981521	ENSP00000318585	ENSP00000294785	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.906	0.962
acetate	phosphate	-100000175	-100001003	175	1003	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.881	0.998
BACE1	Acylguanidine,.	984380	-111290116	ENSP00000318585	11290116	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	CHEBI:414886	984380	-144397237	ENSP00000318585	44397237	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.912
DMSO	2ohu	-100000679	-111633167	679	11633167	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.900
BACE1	acetate	984380	-100000175	ENSP00000318585	175	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.160	0.913
BACE1	statine	984380	-100123915	ENSP00000318585	123915	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.280	0.925
BACE1	DB07089	984380	-111995761	ENSP00000318585	11995761	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	8a-p	984380	-110397869	ENSP00000318585	10397869	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
BACE1	SureCN8270486	984380	-123647288	ENSP00000318585	23647288	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.913
zinc	statine	-100023994	-100123915	23994	123915	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.035	0.900
GGA1	glycerol	987076	-100000753	ENSP00000341344	753	0.000	0.000	0.000	0.000	0.000	0.427	0.000	0.112	0.476
BACE1	zinc	984380	-100023994	ENSP00000318585	23994	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.224	0.920
DMSO	9 IP	-100000679	-111500493	679	11500493	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.011	0.900
BACE1	GGA3	984380	977473	ENSP00000318585	ENSP00000245541	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.894	0.957
glycerol	8-IP	-100000753	-111701820	753	11701820	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.013	0.900
