#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
OXER1	prostaglandin .	991871	-100004956	ENSP00000367930	4956	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GRPR	ornithine	992189	-100000389	ENSP00000369643	389	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
APH1A	PSEN1	989829	985250	ENSP00000358105	ENSP00000326366	0.000	0.000	0.000	0.000	0.000	0.937	0.900	0.834	0.998
ADCY1	adenosine trip.	981905	-100000238	ENSP00000297323	238	0.000	0.000	0.000	0.000	0.000	0.448	0.900	0.800	0.988
guanosine diph.	magnesium	-100000730	-100000888	730	888	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.196	0.991
QRFPR	guanosine trip.	986437	-100000762	ENSP00000335610	762	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RGS4	GPR109A	995741	993123	ENSP00000397181	ENSP00000375066	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
SERPING1	TGFB1	980496	976503	ENSP00000278407	ENSP00000221930	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.129	0.907
PLCB2	ANXA1	978576	978277	ENSP00000260402	ENSP00000257497	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.086	0.902
CXCR2	CCR5	984504	981342	ENSP00000319635	ENSP00000292303	0.000	0.000	0.000	0.877	0.000	0.000	0.900	0.752	0.909
ODAM	GSN	993555	990874	ENSP00000379401	ENSP00000362924	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
ADCY8	sphingosine-1-.	980980	-100005262	ENSP00000286355	5262	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
propionate	C15:0	-100001032	-100013849	1032	13849	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.389	0.937
PGE2	magnesium	-100000158	-100000888	158	888	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.423	0.940
HTR2A	LTE4	991874	-100003909	ENSP00000367959	3909	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CYSLTR1	ARHGEF25	990757	986427	ENSP00000362401	ENSP00000335560	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
SERPINA1	indomethacin	988002	-100003715	ENSP00000348068	3715	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.700
FN1	GAPDH	987830	976853	ENSP00000346839	ENSP00000229239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.941	0.942
OPRL1	CCR7	986491	977544	ENSP00000336764	ENSP00000246657	0.000	0.000	0.000	0.782	0.000	0.000	0.900	0.000	0.899
ARHGEF25	acetate	986427	-100000175	ENSP00000335560	175	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
NPY1R	HEBP1	989048	975753	ENSP00000354652	ENSP00000014930	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
GPR109A	SST	993123	981058	ENSP00000375066	ENSP00000287641	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.101	0.904
DRD3	sphingosine-1-.	992768	-100005262	ENSP00000373169	5262	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RGS20	PPBP	981903	981698	ENSP00000297313	ENSP00000296028	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
DRD2	CCR7	989111	977544	ENSP00000354859	ENSP00000246657	0.000	0.000	0.000	0.622	0.000	0.000	0.900	0.000	0.899
