#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
CHAT	BCHE	986533	979379	ENSP00000337103	ENSP00000264381	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.788	0.788
CYP2D6	CYP2C9	988904	978606	ENSP00000353820	ENSP00000260682	0.000	0.000	0.523	0.903	0.071	0.000	0.900	0.891	0.913
ACHE	donepezil	982645	-100003152	ENSP00000303211	3152	0.000	0.000	0.000	0.000	0.000	0.900	0.900	0.549	0.995
CHAT	ACHE	986533	982645	ENSP00000337103	ENSP00000303211	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.909	0.909
CASP3	IGF1	983604	982571	ENSP00000311032	ENSP00000302665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.613	0.613
HRH3	donepezil	987261	-100003152	ENSP00000342560	3152	0.000	0.000	0.000	0.000	0.000	0.514	0.000	0.091	0.545
HTR2A	donepezil	991874	-100003152	ENSP00000367959	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.082	0.810
CYP2D6	donepezil	988904	-100003152	ENSP00000353820	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.145	0.823
CHAT	donepezil	986533	-100003152	ENSP00000337103	3152	0.000	0.000	0.000	0.000	0.000	0.656	0.000	0.240	0.731
MMP9	CCL2	990537	976702	ENSP00000361405	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.924	0.924
CCL2	donepezil	976702	-100003152	ENSP00000225831	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
CASP8	CASP3	988504	983604	ENSP00000351273	ENSP00000311032	0.000	0.000	0.000	0.874	0.000	0.989	0.900	0.984	0.999
IGF1	donepezil	982571	-100003152	ENSP00000302665	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
CYP3A4	BCHE	986634	979379	ENSP00000337915	ENSP00000264381	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.468	0.468
CYP3A4	CYP2C9	986634	978606	ENSP00000337915	ENSP00000260682	0.000	0.000	0.524	0.753	0.249	0.000	0.900	0.869	0.944
CASP9	CASP3	985709	983604	ENSP00000330237	ENSP00000311032	0.000	0.000	0.000	0.865	0.000	0.937	0.900	0.868	0.994
CASP3	donepezil	983604	-100003152	ENSP00000311032	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.088	0.718
CYP3A4	IGF1	986634	982571	ENSP00000337915	ENSP00000302665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.463	0.462
MMP9	IGF1	990537	982571	ENSP00000361405	ENSP00000302665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.507
BCHE	donepezil	979379	-100003152	ENSP00000264381	3152	0.000	0.000	0.000	0.000	0.000	0.548	0.900	0.962	0.998
CYP2C9	donepezil	978606	-100003152	ENSP00000260682	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
IGF1	BCHE	982571	979379	ENSP00000302665	ENSP00000264381	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.290	0.924
CASP3	CCL2	983604	976702	ENSP00000311032	ENSP00000225831	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.425	0.424
CASP8	IGF1	988504	982571	ENSP00000351273	ENSP00000302665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.427	0.427
TRPV1	donepezil	975908	-100003152	ENSP00000174621	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
CASP8	CASP9	988504	985709	ENSP00000351273	ENSP00000330237	0.000	0.000	0.000	0.781	0.000	0.846	0.000	0.865	0.875
CYP3A4	ACHE	986634	982645	ENSP00000337915	ENSP00000303211	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.463	0.462
CYP3A4	donepezil	986634	-100003152	ENSP00000337915	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
CASP8	donepezil	988504	-100003152	ENSP00000351273	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.700
MMP9	donepezil	990537	-100003152	ENSP00000361405	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.707	0.707
CASP9	donepezil	985709	-100003152	ENSP00000330237	3152	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.700
MMP9	CASP3	990537	983604	ENSP00000361405	ENSP00000311032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.540
KCNH2	donepezil	978901	-100003152	ENSP00000262186	3152	0.000	0.000	0.000	0.000	0.000	0.425	0.000	0.063	0.445
CYP2D6	CYP3A4	988904	986634	ENSP00000353820	ENSP00000337915	0.000	0.000	0.518	0.723	0.000	0.000	0.900	0.869	0.934
