#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
BDNF	TP53	997640	979979	ENSP00000414303	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.318	0.927
MME	BACE1	988880	984380	ENSP00000353679	ENSP00000318585	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.563
BDNF	GRIA3	997640	990325	ENSP00000414303	ENSP00000360302	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.426	0.425
CD44	GFAP	980495	977970	ENSP00000278385	ENSP00000253408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.885
DNER	NOTCH1	987618	980463	ENSP00000345229	ENSP00000277541	0.000	0.000	0.000	0.828	0.000	0.000	0.900	0.380	0.905
ENSG00000235320	CDK5	997771	981933	ENSP00000415477	ENSP00000297518	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.926	0.984
PSEN2	APLP2	989326	979203	ENSP00000355747	ENSP00000263574	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.407	0.407
PRNP	MAPT	992007	986994	ENSP00000368748	ENSP00000340820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.429	0.429
BDNF	APP	997640	980902	ENSP00000414303	ENSP00000284981	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.429	0.429
ZNF274	APH1B	997156	978827	ENSP00000409872	ENSP00000261879	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
APH1A	SORT1	989829	978217	ENSP00000358105	ENSP00000256637	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
PSEN1	APOE	985250	977866	ENSP00000326366	ENSP00000252486	0.000	0.000	0.000	0.000	0.000	0.115	0.000	0.752	0.765
APH1B	JAG1	978827	978094	ENSP00000261879	ENSP00000254958	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
MAPT	YWHAQ	986994	977159	ENSP00000340820	ENSP00000238081	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.660	0.862
ATF6	ATF4	989569	986495	ENSP00000356919	ENSP00000336790	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.789	0.788
SYP	GFAP	979137	977970	ENSP00000263233	ENSP00000253408	0.000	0.000	0.000	0.000	0.067	0.000	0.000	0.789	0.789
ENSG00000204301	PSEN1	991116	985250	ENSP00000364163	ENSP00000326366	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.412	0.761
CD44	IL1B	980495	979165	ENSP00000278385	ENSP00000263341	0.000	0.000	0.000	0.000	0.072	0.000	0.000	0.878	0.879
BDNF	MAPT	997640	986994	ENSP00000414303	ENSP00000340820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.425	0.424
CREB1	ATF6	994706	989569	ENSP00000387699	ENSP00000356919	0.000	0.000	0.000	0.000	0.000	0.255	0.000	0.398	0.521
CASP8	CTNNB1	988504	987513	ENSP00000351273	ENSP00000344456	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.273	0.705
ATF4	FBXW11	986495	979540	ENSP00000336790	ENSP00000265094	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.137	0.651
CASP9	BCL2	985709	985632	ENSP00000330237	ENSP00000329623	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.647	0.924
PSEN1	IL1A	985250	979164	ENSP00000326366	ENSP00000263339	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.423	0.423
TSPO	BCL2L1	985548	982553	ENSP00000328973	ENSP00000302564	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.498	0.497
PKP4	CDH2	992901	979959	ENSP00000374409	ENSP00000269141	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.167	0.661
PSEN1	DAG1	985250	983783	ENSP00000326366	ENSP00000312435	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.086	0.629
BACE1	PSENEN	984380	976538	ENSP00000318585	ENSP00000222266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.670	0.669
NOTCH2NL	NUMB	989132	987872	ENSP00000354929	ENSP00000347169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.622	0.622
CDH1	ADAM10	978794	978579	ENSP00000261769	ENSP00000260408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.466	0.466
GSK3B	NOTCH3	985091	979180	ENSP00000324806	ENSP00000263388	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.104	0.636
CTSB	TSPO	987186	985548	ENSP00000342070	ENSP00000328973	0.000	0.000	0.000	0.000	0.119	0.000	0.000	0.541	0.568
TSPO	CDH2	985548	979959	ENSP00000328973	ENSP00000269141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.610	0.609
ENSG00000204301	NUMB	991116	987872	ENSP00000364163	ENSP00000347169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.400	0.400
CASP3	IL1B	983604	979165	ENSP00000311032	ENSP00000263341	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.906	0.906
UBA52	copper	994748	-100023978	ENSP00000388107	23978	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.080	0.905
MRAP	NOTCH1	983053	980463	ENSP00000306697	ENSP00000277541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.428	0.428
BACE2	ADAM10	986069	978579	ENSP00000332979	ENSP00000260408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.463	0.462
ENSG00000204301	PSEN2	991116	989326	ENSP00000364163	ENSP00000355747	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.263	0.701
NOTCH1	GFAP	980463	977970	ENSP00000277541	ENSP00000253408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.540
PRKACA	GFAP	983418	977970	ENSP00000309591	ENSP00000253408	0.000	0.000	0.000	0.000	0.000	0.619	0.000	0.224	0.684
PSEN1	BACE1	985250	984380	ENSP00000326366	ENSP00000318585	0.000	0.000	0.000	0.000	0.000	0.621	0.000	0.785	0.913
